0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /TeamProject1/login.jsp HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /img/naver.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /img/facebook.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /img/google.jpg HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /img/kakao.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /img/apple.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /TeamProject1/html/login.css HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:10 +0900] "GET /TeamProject1/html/login.js HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:04:27 +0900] "GET /TeamProject1/home.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:18 +0900] "GET /TeamProject1/html/login.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /TeamProject1/login.jsp HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /img/naver.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /img/facebook.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /TeamProject1/css/login.css HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /img/google.jpg HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /img/kakao.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:19 +0900] "GET /img/apple.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /TeamProject1/js/login.js HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /TeamProject1/login.jsp HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/kakao.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/google.jpg HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/apple.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/naver.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/facebook.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /TeamProject1/login.jsp HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/facebook.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/kakao.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/apple.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/naver.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:20 +0900] "GET /img/google.jpg HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:23 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13637
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:23 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:23 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:44 +0900] "GET /TeamProject1/anouncement.jsp HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:44 +0900] "GET /TeamProject1/css/anouncement.css HTTP/1.1" 200 2363
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:44 +0900] "GET /TeamProject1/js/anouncement.js HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:05:46 +0900] "GET /TeamProject1/index.jsp HTTP/1.1" 200 4675
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:00 +0900] "GET /TeamProject1/index.jsp HTTP/1.1" 200 4673
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:00 +0900] "GET /TeamProject1/css/header.css HTTP/1.1" 200 5623
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:00 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:00 +0900] "GET /TeamProject1/index.jsp HTTP/1.1" 200 4673
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:00 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:01 +0900] "GET /TeamProject1/home.jsp HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:01 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:01 +0900] "GET /TeamProject1/img2/time.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:01 +0900] "GET /TeamProject1/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:06 +0900] "GET /TeamProject1/capsuleList.jsp HTTP/1.1" 200 21823
0:0:0:0:0:0:0:1 - - [20/Mar/2025:09:07:06 +0900] "GET /TeamProject1/js/header.js HTTP/1.1" 304 -
